NAF Lokalavdeling Øst-Finnmark,1
NAF Lokalavdeling Årdal,4
NAF Lokalavdeling Valdres,3
NAF Lokalavdeling Søre Sunnmøre,4
NAF Lokalavdeling Sør-Varanger,1
NAF Lokalavdeling Stavanger og Omegn,4
NAF Lokalavdeling Sauda og Suldal,4
NAF Lokalavdeling Romsdal,4
NAF Lokalavdeling Oslo og Omegn,5
NAF Lokalavdeling Nordre Salten,1
NAF Lokalavdeling Nordfjord,4
NAF Lokalavdeling Moss og Omegn,5
NAF Lokalavdeling Kristiansund og Omegn,4
NAF Lokalavdeling Indre Vest-Finnmark,1
NAF Lokalavdeling Indre Sogn,4
NAF Lokalavdeling Hammerfest - Karasjok,1
NAF Lokalavdeling Halden og Omegn,5
NAF Lokalavdeling Drammen og Opland,2
NAF Lokalavdeling Brønnøysund og Omegn,1
NAF Lokalavdeling Aust-Agder,2
NAF Lokalavdeling Asker og Bærum,5
NAF Motorsport Øvre Østfold,3
NAF Motorsport Ålesund,4
NAF Motorsport Vanylven,4
NAF Motorsport Trøndelag,1
NAF Motorsport Stavanger,4
NAF Motorsport Salten,4
NAF Motorsport Nordre Vestfold,3
NAF Motorsport Nordhordland,4
NAF Motorsport Nordfjord,4
NAF Motorsport Kristiansund,4
NAF Motorsport Indre Sogn,4
NAF Motorsport Hamar og Omegn,3
NAF Motorsport Grenland,3
NAF Motorsport Flekkefjord,2
NAF Motorsport Aust-Agder,2
NAF MC Vestfold,3
NAF MC Valdres,3
NAF MC Trondheim,1
NAF MC Tromsø,1
NAF MC Solør, Vinger, Odalt,3
NAF MC Romerike,3
NAF MC Ringerike,2
NAF MC Notodden,2
NAF MC Kristiansand,2
NAF MC Harstad,1
NAF MC Hallingdal,2
NAF MC Alta,1
NAF Lokalavdeling Søndre Vestfold,2
NAF Lokalavdeling Sarpsborg og Omegn,5
NAF Lokalavdeling Nordhordland,4
NAF Lokalavdeling Namdal,1
NAF Lokalavdeling Lofoten,1
NAF Lokalavdeling Indre Nordmøre,4
NAF Lofoten Motorsport Klubb,1
NAF Gokart Vestfold,2
NAF Gokart Kristiansand,2
